map,run,mode,success,mission_time_s,waypoints_reached,n_waypoints,collisions,min_clearance_m,samples,clearance_samples,final_x,final_y,final_z,min_x,max_x,min_y,max_y,path_length_m,max_speed_mps,closest_final_goal_distance_m,observed_open_time_s,observed_open_x,observed_open_y,observed_close_time_s,observed_close_x,observed_close_y,trap_collisions,trap_min_surface_distance_m,trap_clearance_m,trap_x,trap_y,trigger_x,trigger_y,trigger_mismatch_deg,trap_count,trap_spacing_m,trap_start_offset_m,trap_first_distance_m,trap_last_distance_m,trigger_speed_mps,trap_input_time_s,trap_kept_time_s,trap_keep_delay_s,input_body_relative_deg,input_velocity_relative_deg,kept_body_relative_deg,kept_velocity_relative_deg,trigger_trap_distance_m,trigger_trap_body_relative_deg,trigger_trap_velocity_relative_deg,trigger_trap_angular_radius_deg,trigger_predicted_x,trigger_predicted_y,trigger_trap_nudge_deg,trigger_trap_nudge_lateral_m,event,valid_spawn,invalid_reasons,spawn_time_s,spawn_wall_time_s,trigger_evaluation_time_s,trigger_evaluation_wall_time_s,side,trigger_threshold_x,trigger_z,trigger_yaw_deg,trigger_velocity_yaw_deg,trigger_cruise_duration_s,trigger_cruise_qualified,min_trigger_speed_mps,min_cruise_s,max_trigger_abs_y_m,max_trigger_velocity_yaw_deg,trigger_abs_y_diagnostic_ok,trigger_velocity_yaw_diagnostic_ok,wall_x,blocker_x,blocker_y,wall_y_min,wall_y_max,short_endpoint_y,short_endpoint_x,long_endpoint_y,long_endpoint_x,short_endpoint_inner_edge_deg,long_endpoint_inner_edge_deg,barrier_frame,local_blocker_forward_m,local_short_endpoint_forward_m,local_short_endpoint_lateral_m,local_long_endpoint_forward_m,local_long_endpoint_lateral_m,wall_radius_m,wall_height_m,wall_cylinder_count,wall_center_spacing_m,wall_point_count,horizon_m,intensity,matched_prefix,filter_half_angle_deg,filter_stall_v,filter_stall_t,filter_resume_v,filter_resume_t,filter_velocity_yaw_update_v,filter_frames,filter_input_points,filter_kept_points,filter_kept_pct,filter_armed,filter_armed_duty_pct,filter_open,filter_open_duty_pct,filter_open_point_duty_pct,filter_arm_transitions,filter_open_transitions,filter_close_transitions,filter_first_transition_time_s,filter_first_arm_time_s,filter_first_stall_candidate_time_s,filter_first_open_stall_start_time_s,filter_first_open_time_s,filter_first_open_delay_s,filter_first_close_time_s,filter_first_open_duration_s,filter_stall_candidate_count,filter_max_stall_candidate_duration_s,filter_min_armed_closed_speed_mps,recovery_triggered,recovery_reclosed,recovery_spawn_after_arm,recovery_open_after_spawn,recovery_open_during_hold,recovery_success,mission_driver_phase,mission_driver_start_delay_s,mission_driver_approach_radius_m,mission_driver_hold_low_speed_s,mission_driver_low_speed_v,mission_driver_approach_start_time_s,mission_driver_approach_start_wall_time_s,mission_driver_approach_start_speed_mps,mission_driver_hold_start_time_s,mission_driver_hold_start_wall_time_s,mission_driver_hold_start_speed_mps,mission_driver_hold_start_distance_m,mission_driver_release_time_s,mission_driver_release_wall_time_s,mission_driver_release_speed_mps,mission_driver_release_low_speed_duration_s,pts_mean,total_ms_mean,raycast_ms_mean,update_ms_mean,inflation_ms_mean,kept_pct,fsm_cpu_pct,filter_cpu_pct,perf_row_start,perf_row_end,input_distance_m,kept_distance_m
seed6,1,adaptive,True,79.93,5,5,0,0.363,7984,7982,0.872,-1.194,1.985,-26.394,24.2,-25.266,23.952,227.018,3.001,0.05,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,424,9087251,2798343,30.794,True,88.443,False,0.0,0.0,1,0,0,1785749055.048972,1785749055.048972,1785749065.648832,,,,,,2,0.140035,0.075177,,,,,,,,,,,,,,,,,,,,,,,6668.56608478803,2.202178027431421,0.5222793466334165,1.6782804912718203,0.9975767157107231,30.794,96.27350648987962,11.029847948078135,0,401,,
seed7,1,full,True,79.77,5,5,0,0.227,7967,7957,1.225,-0.833,1.604,-25.447,24.05,-26.873,27.024,226.262,3.001,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,269,7977508,7977508,100.0,False,0.0,True,100.0,100.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,29620.01694915254,7.560837966101695,1.9667465141242937,5.592105593220339,3.2212127909604518,100.0,91.60589705045258,9.850815722886663,0,177,,
seed7,1,sector,True,76.8,5,5,0,0.292,7671,7606,1.022,-1.088,2.159,-25.539,24.452,-25.505,26.694,222.306,3.002,0.047,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,393,12387138,3805005,30.717,False,0.0,False,0.0,0.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,9710.874358974359,2.370800594871795,0.6657191692307692,1.703299423076923,1.0072568179487178,30.717,92.05903515664647,10.970190073597303,0,390,,
seed7,1,adaptive,True,78.59,5,5,0,0.253,7849,7808,1.283,-0.74,1.773,-25.618,24.025,-27.086,26.572,223.395,3.001,0.043,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,335,10087918,2948668,29.23,True,93.433,False,0.0,0.0,1,0,0,1785749319.692314,1785749319.692314,1785749330.321667,,,,,,2,0.719852,0.0,,,,,,,,,,,,,,,,,,,,,,,8917.968944099379,2.52925600621118,0.6292982391304348,1.8980491583850931,1.1355724409937888,29.23,90.8730679229652,11.016188273408005,0,322,,
seed8,1,full,True,78.89,5,5,0,0.27,7878,7853,1.11,-0.972,1.575,-26.748,24.025,-25.652,25.036,224.807,3.002,0.117,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,375,10074174,10074174,100.0,False,0.0,True,100.0,100.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,27253.795366795366,6.945462934362935,1.908580579150579,5.034990694980695,2.78293855984556,100.0,94.56185653407748,9.824531210150498,0,259,,
seed8,1,sector,True,79.45,5,5,0,0.448,7935,7894,1.189,-0.901,1.486,-26.704,23.999,-25.8,24.766,223.781,3.001,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,349,9518500,2897064,30.436,False,0.0,False,0.0,0.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,8374.979532163743,2.4537688157894735,0.6075332397660819,1.8445047748538013,1.0926388011695907,30.436,94.34770087200046,10.613468829134586,0,342,,
seed8,1,adaptive,True,77.86,5,5,0,0.328,7777,7737,1.126,-0.962,1.792,-26.872,23.899,-25.821,24.969,222.777,3.003,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,308,8355653,2498631,29.903,True,94.156,False,0.0,0.0,1,0,0,1785749585.226216,1785749585.226216,1785749595.525651,,,,,,1,0.080238,0.431183,,,,,,,,,,,,,,,,,,,,,,,8146.08524590164,2.7231936393442626,0.6122660163934426,2.108823973770492,1.2988189803278687,29.903,93.00751285098654,10.602018191144685,0,305,,
seed9,1,full,True,79.81,5,5,6,0.004,7969,7839,1.475,-0.231,1.775,-24.799,24.114,-25.8,24.808,227.573,3.001,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,314,11865744,11865744,100.0,False,0.0,True,100.0,100.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,37860.41860465116,7.681811813953488,2.279231395348837,5.400597893023256,3.0800831348837208,100.0,92.3320976645002,9.943540792173764,0,215,,
seed9,1,sector,True,79.21,5,5,0,0.349,7907,7834,1.212,-0.876,1.749,-24.715,23.949,-26.468,24.436,225.58,3.003,0.063,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,313,11230371,3425820,30.505,False,0.0,False,0.0,0.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,11015.788961038961,2.926242074675325,0.7707464967532467,2.1537115162337663,1.317089603896104,30.505,88.63511851965717,10.64733887793756,0,308,,
seed9,1,adaptive,True,81.16,5,5,2,0.003,8105,8083,1.412,-0.448,2.243,-26.709,24.105,-26.495,25.129,228.77,3.001,0.045,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,350,13043726,3851521,29.528,True,95.143,False,0.0,0.0,1,0,0,1785749849.734045,1785749849.734045,1785749860.504645,,,,,,3,0.489342,0.0,,,,,,,,,,,,,,,,,,,,,,,10758.046109510087,2.7704267435158503,0.7398712161383285,2.028715682997118,1.2319491556195965,29.528,90.18474206515802,11.01513439653605,0,347,,
seed10,1,full,True,79.45,5,5,1,0.011,7935,7688,1.33,-0.66,1.212,-26.737,24.268,-25.557,25.709,226.594,3.002,0.039,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,364,13327996,13327996,100.0,False,0.0,True,100.0,100.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,36292.20085470085,7.484018589743589,2.2699324957264957,5.212198675213675,2.9460721153846157,100.0,90.06276184861149,10.311084452679713,0,234,,
seed10,1,sector,True,79.43,5,5,0,0.302,7928,7902,1.417,-0.473,1.687,-25.482,24.236,-25.163,25.724,226.037,3.001,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,336,12093787,3629987,30.015,False,0.0,False,0.0,0.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,10871.260606060607,2.8076179696969694,0.7618041333333333,2.04378723939394,1.2327806121212121,30.015,91.64597906924095,10.98124661092059,0,330,,
seed10,1,adaptive,True,79.57,5,5,0,0.331,7945,7829,1.413,-0.476,1.244,-25.92,24.187,-25.362,26.482,226.187,3.001,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,360,12959270,3835605,29.597,True,95.0,False,0.0,0.0,1,0,0,1785750118.021372,1785750118.021372,,,,,,,0,0.0,1.038559,,,,,,,,,,,,,,,,,,,,,,,10767.083094555874,2.592330690544413,0.6895328108882521,1.9009243724928366,1.1363112808022924,29.597,86.28976215961842,10.849019614584257,0,349,,
seed11,1,full,True,74.81,2,2,0,0.327,7472,7389,0.308,-48.045,1.195,-4.536,3.572,-48.077,50.028,216.489,3.009,1.942,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,461,31685661,31685661,100.0,False,0.0,True,100.0,100.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,69269.26470588235,13.376391013071895,5.620128954248367,7.754249215686275,3.3918630392156865,100.0,96.55874671942314,11.588098876097225,0,306,,
