Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.000290985, 0.000149732, 0.000139969, 4.481e-05, 1556, 1161, 1107
0.000447046, 0.000297083, 0.000148761, 2.3353e-05, 1552, 1161, 738
0.000210668, 0.000119848, 8.9996e-05, 1.7091e-05, 1544, 1148, 738
0.000366746, 0.000201521, 0.000163553, 3.3499e-05, 1545, 1154, 1230
0.000336011, 0.000203676, 0.000130525, 1.9924e-05, 1545, 1148, 615
0.000225166, 0.000133225, 9.0808e-05, 1.0029e-05, 1555, 1161, 369
0.000361786, 0.000214191, 0.000145788, 1.6506e-05, 1556, 1161, 615
0.000211485, 0.000128857, 8.1783e-05, 9.554e-06, 1541, 1150, 369
0.000204091, 0.000149167, 5.4179e-05, 5.053e-06, 1548, 1153, 246
0.000251838, 0.000154087, 9.6555e-05, 1.2557e-05, 1551, 1157, 492
0.000142645, 9.4569e-05, 4.7063e-05, 0, 1555, 1154, 0
0.000222724, 0.000147913, 7.3376e-05, 0, 1566, 1169, 0
0.000310947, 0.000198671, 0.000110542, 3.496e-06, 1544, 1153, 123
0.000213775, 0.000128658, 8.3807e-05, 6.516e-06, 1549, 1155, 246
0.000215865, 0.000131859, 8.307e-05, 1.1379e-05, 1553, 1153, 492
0.00038976, 0.000200005, 0.000188345, 6.0271e-05, 1552, 1155, 615
0.000266183, 0.000145931, 0.000119191, 2.5893e-05, 1550, 1150, 1107
0.00045594, 0.000239514, 0.000214583, 3.1217e-05, 1559, 1160, 1230
0.000264658, 0.000131681, 0.000132044, 3.6967e-05, 1552, 1155, 1968
0.000433614, 0.000237719, 0.000193585, 4.4288e-05, 1564, 1166, 1968
0.000279723, 0.000132194, 0.000146137, 4.8864e-05, 1561, 1158, 3198
0.000397478, 0.000208427, 0.00018707, 4.7098e-05, 1540, 1147, 2091
0.000261766, 0.000137602, 0.000122944, 3.0216e-05, 1555, 1157, 1353
0.000380367, 0.000204583, 0.000173336, 4.1285e-05, 1559, 1159, 1230
0.000172952, 9.3588e-05, 7.8383e-05, 1.7911e-05, 1563, 1164, 1107
0.000190887, 0.000105241, 8.4459e-05, 2.1214e-05, 1542, 1148, 1476
0.000243418, 0.000131414, 0.000110246, 2.3935e-05, 1560, 1164, 1230
0.000193745, 0.000117112, 7.5452e-05, 1.5348e-05, 1544, 1150, 984
0.000277917, 0.000184601, 9.2189e-05, 1.3995e-05, 1558, 1160, 738
0.000246954, 0.000140237, 0.000105372, 1.9897e-05, 1557, 1161, 861
0.000223224, 0.000132032, 8.9965e-05, 9.822e-06, 1543, 1150, 369
0.000355477, 0.000214655, 0.000138661, 0, 1549, 1155, 0
0.000266494, 0.000165821, 9.9324e-05, 9.915e-06, 1557, 1158, 492
0.000243947, 0.000150167, 9.2842e-05, 1.4993e-05, 1558, 1159, 615
0.000353211, 0.000222908, 0.000127731, 3.739e-06, 1556, 1155, 123
0.000222495, 0.000127858, 9.365e-05, 1.7653e-05, 1545, 1149, 246
0.000217088, 0.000140428, 7.5532e-05, 0, 1555, 1148, 0
0.000238333, 0.000162006, 7.4886e-05, 0, 1552, 1152, 0
0.000192628, 0.00012302, 6.8128e-05, 3.95e-06, 1553, 1148, 123
0.000222333, 0.000146492, 7.4855e-05, 3.566e-06, 1566, 1167, 123
0.000328431, 0.000201088, 0.000125472, 0, 1556, 1159, 0
0.000121081, 7.9447e-05, 4.1053e-05, 2.01e-06, 1549, 1144, 123
0.000308934, 0.00019441, 0.00011302, 8.85e-06, 1557, 1164, 246
0.000322447, 0.000199787, 0.000120937, 7.771e-06, 1560, 1159, 246
0.000308031, 0.000202649, 0.000103754, 0, 1556, 1156, 0
0.000283714, 0.000210422, 7.1669e-05, 0, 1564, 1165, 0
0.000344315, 0.00022001, 0.000122885, 1.0028e-05, 1554, 1160, 123
0.000312843, 0.000198384, 0.000112959, 4.946e-06, 1553, 1154, 123
0.000340083, 0.000229591, 0.000109138, 4.016e-06, 1536, 1140, 123
0.00019732, 0.000127501, 6.8427e-05, 0, 1569, 1160, 0
0.000232354, 0.000154418, 7.7129e-05, 4.085e-06, 1532, 1134, 123
0.000209435, 0.000137791, 6.8394e-05, 0, 1543, 1144, 0
0.000318236, 0.000205985, 0.00010943, 0, 1551, 1150, 0
0.00035702, 0.000278816, 7.6943e-05, 2.85e-06, 1548, 1148, 123
0.000229529, 0.000154148, 7.4455e-05, 0, 1566, 1173, 0
0.000243779, 0.000150163, 9.2261e-05, 3.226e-06, 1548, 1145, 123
0.000234231, 0.000148638, 8.4182e-05, 6.51e-06, 1543, 1146, 246
0.000345875, 0.000212114, 0.000131771, 1.0197e-05, 1553, 1160, 369
0.000332076, 0.000207343, 0.000123669, 1.1371e-05, 1543, 1148, 369
0.000307061, 0.000196656, 0.000109497, 4.505e-06, 1537, 1140, 123
0.000397322, 0.000243619, 0.000151138, 4.774e-06, 1547, 1159, 123
0.000305643, 0.000198017, 0.000106416, 8.165e-06, 1543, 1144, 246
0.000312102, 0.000203307, 0.000107003, 0, 1535, 1140, 0
0.000330143, 0.000206262, 0.000122179, 3.841e-06, 1555, 1161, 123
0.000200309, 0.000132954, 6.5868e-05, 0, 1556, 1149, 0
0.000220894, 0.000147905, 7.1996e-05, 0, 1549, 1147, 0
0.000318034, 0.000207717, 0.000108972, 4.745e-06, 1540, 1147, 123
0.000216225, 0.000142056, 7.0273e-05, 0, 1543, 1146, 0
0.000203574, 0.000124549, 7.8032e-05, 6.525e-06, 1564, 1167, 246
0.000293623, 0.000195904, 9.6412e-05, 0, 1541, 1143, 0
0.000222579, 0.00014074, 8.0394e-05, 0, 1547, 1146, 0
0.000201886, 0.000130142, 7.0812e-05, 0, 1566, 1171, 0
0.000233066, 0.000148095, 8.425e-05, 3.475e-06, 1550, 1156, 123
0.000339515, 0.000217706, 0.000120533, 1.0952e-05, 1558, 1156, 369
0.000222721, 0.000132026, 8.9856e-05, 5.457e-06, 1544, 1142, 246
0.000470622, 0.000215863, 0.000252997, 3.3077e-05, 1567, 1162, 1599
0.000412771, 0.00020486, 0.000206134, 2.9192e-05, 1550, 1153, 1107
0.000410946, 0.000206057, 0.000203564, 2.3923e-05, 1550, 1151, 984
0.00030273, 0.000134417, 0.000166982, 3.7308e-05, 1545, 1147, 2460
0.000353092, 0.000144526, 0.000207169, 6.5419e-05, 1546, 1141, 3198
0.000282266, 0.000135896, 0.00014553, 3.0714e-05, 1545, 1143, 1476
0.000401445, 0.000205377, 0.000194373, 4.0461e-05, 1556, 1148, 1968
0.000267365, 0.000129301, 0.000137106, 3.6853e-05, 1551, 1144, 2214
0.000414212, 0.00020487, 0.000208098, 5.1975e-05, 1553, 1152, 1722
0.000361677, 0.000214741, 0.000144727, 2.0338e-05, 1549, 1152, 984
0.000182935, 9.4555e-05, 8.6914e-05, 2.1346e-05, 1552, 1154, 1353
0.000351135, 0.000201873, 0.000147525, 0, 1558, 1146, 0
0.000350867, 0.000203322, 0.00014633, 2.3201e-05, 1547, 1142, 492
0.000215208, 0.000124974, 8.9618e-05, 1.0481e-05, 1549, 1147, 369
0.000384089, 0.000239577, 0.000142676, 1.0191e-05, 1548, 1148, 246
0.000225238, 0.000137186, 8.6859e-05, 9.33e-06, 1536, 1138, 369
0.000232541, 0.000152339, 7.939e-05, 0, 1552, 1144, 0
0.000191305, 0.000121557, 6.8988e-05, 2.527e-06, 1539, 1140, 123
0.000333639, 0.000207341, 0.000124803, 8.477e-06, 1556, 1155, 246
0.000324693, 0.000197883, 0.000125193, 2.0198e-05, 1553, 1155, 369
0.000338272, 0.000209784, 0.000125946, 0, 1541, 1138, 0
0.000215941, 0.000132542, 8.2445e-05, 3.738e-06, 1570, 1162, 123
0.000303505, 0.000199258, 0.000103019, 0, 1546, 1146, 0
0.000296706, 0.000210593, 8.4269e-05, 0, 1549, 1144, 0
0.000293026, 0.000203148, 8.8223e-05, 8.679e-06, 1558, 1151, 123
0.000212852, 0.000135177, 7.6365e-05, 0, 1561, 1161, 0
0.000313561, 0.000202818, 0.000108269, 0, 1543, 1153, 0
0.000317949, 0.000205425, 0.000110763, 0, 1551, 1146, 0
0.000147364, 9.64e-05, 5.0045e-05, 0, 1535, 1137, 0
0.000221976, 0.000164489, 5.6302e-05, 2.416e-06, 1555, 1157, 123
0.000324061, 0.000199905, 0.000122424, 8.72e-06, 1545, 1143, 246
0.000352851, 0.000228204, 0.000123404, 5.029e-06, 1545, 1155, 123
0.000314659, 0.00019883, 0.000114731, 4.662e-06, 1552, 1148, 123
0.000295323, 0.000204654, 8.9307e-05, 8.896e-06, 1533, 1141, 369
0.000377326, 0.000242307, 0.000133611, 9.45e-06, 1575, 1161, 246
0.000365433, 0.000233891, 0.000129185, 1.0609e-05, 1557, 1157, 492
0.000324467, 0.000201689, 0.000121451, 4.264e-06, 1547, 1153, 123
0.000245096, 0.0001543, 8.8997e-05, 1.0622e-05, 1563, 1159, 492
0.000244719, 0.000154052, 8.98e-05, 0, 1558, 1149, 0
0.000372632, 0.000238337, 0.000133004, 0, 1551, 1150, 0
0.000223851, 0.000133614, 8.8874e-05, 0, 1555, 1155, 0
0.000253578, 0.00015529, 9.7278e-05, 9.492e-06, 1544, 1148, 369
