seed,run,variant,success,waypoints_reached,collisions,min_clearance_m,mission_time_s,path_length_m,max_speed_mps
seed4,5,omg4_thr23_only_v10_full,True,5,2,0.113,26.18,218.885,9.993
seed5,1,omg4_thr23_only_v10_full,True,5,9,0.013,26.02,214.284,9.995
seed5,2,omg4_thr23_only_v10_full,True,5,5,0.003,27.75,217.708,10.001
seed5,3,omg4_thr23_only_v10_full,True,5,2,0.024,28.37,218.064,9.999
seed5,4,omg4_thr23_only_v10_full,True,5,2,0.022,28.39,220.721,9.995
seed5,5,omg4_thr23_only_v10_full,True,5,1,0.001,27.7,217.714,10.0
seed6,1,omg4_thr23_only_v10_full,True,5,3,0.008,26.72,214.521,10.0
seed6,2,omg4_thr23_only_v10_full,True,5,2,0.02,26.48,217.358,10.0
seed6,3,omg4_thr23_only_v10_full,True,5,2,0.143,26.44,214.573,10.0
seed6,4,omg4_thr23_only_v10_full,True,5,4,0.016,27.44,214.616,10.001
seed6,5,omg4_thr23_only_v10_full,True,5,4,0.016,26.37,216.246,10.0
seed7,1,omg4_thr23_only_v10_full,False,4,10,0.006,85.01,203.713,10.0
seed7,2,omg4_thr23_only_v10_full,True,5,14,0.003,29.71,217.603,9.995
seed7,3,omg4_thr23_only_v10_full,True,5,6,0.013,29.2,218.206,9.999
seed7,4,omg4_thr23_only_v10_full,True,5,6,0.007,29.31,216.321,9.999
seed7,5,omg4_thr23_only_v10_full,True,5,14,0.002,31.23,220.495,9.999
seed8,1,omg4_thr23_only_v10_full,True,5,3,0.03,27.07,214.563,10.0
seed8,2,omg4_thr23_only_v10_full,True,5,9,0.004,27.17,220.497,10.0
seed8,3,omg4_thr23_only_v10_full,True,5,2,0.019,27.03,215.534,10.0
seed8,4,omg4_thr23_only_v10_full,True,5,9,0.001,27.87,218.537,10.0
seed8,5,omg4_thr23_only_v10_full,True,5,6,0.009,28.02,219.663,10.0
seed9,1,omg4_thr23_only_v10_full,True,5,19,0.006,31.05,224.301,10.0
seed9,2,omg4_thr23_only_v10_full,True,5,15,0.002,29.13,218.273,10.001
seed9,3,omg4_thr23_only_v10_full,True,5,19,0.004,29.56,217.74,10.0
seed9,4,omg4_thr23_only_v10_full,True,5,7,0.004,34.93,222.974,9.997
seed9,5,omg4_thr23_only_v10_full,True,5,4,0.009,29.47,215.05,10.0
seed10,1,omg4_thr23_only_v10_full,True,5,3,0.014,30.23,217.792,9.996
seed10,2,omg4_thr23_only_v10_full,True,5,16,0.003,30.56,222.488,10.0
seed10,3,omg4_thr23_only_v10_full,False,3,4,0.015,85.0,154.846,9.999
seed10,4,omg4_thr23_only_v10_full,False,2,10,0.006,85.0,99.191,10.0
seed10,5,omg4_thr23_only_v10_full,True,5,13,0.007,30.84,223.012,10.0
seed1,1,switchdist03_v10_full,True,5,0,0.413,27.79,217.213,10.0
seed1,2,switchdist03_v10_full,True,5,0,0.374,27.63,215.614,9.999
seed1,3,switchdist03_v10_full,True,5,0,0.346,27.47,216.859,10.0
seed1,4,switchdist03_v10_full,True,5,0,0.219,27.91,220.295,9.998
seed1,5,switchdist03_v10_full,True,5,0,0.33,27.72,216.807,10.0
seed2,1,switchdist03_v10_full,True,5,0,0.351,26.07,214.385,9.997
seed2,2,switchdist03_v10_full,True,5,0,0.334,26.26,216.537,10.0
seed2,3,switchdist03_v10_full,True,5,0,0.435,26.09,216.681,10.0
seed2,4,switchdist03_v10_full,True,5,0,0.348,25.89,209.673,10.0
seed2,5,switchdist03_v10_full,True,5,0,0.398,26.06,214.052,9.998
seed3,1,switchdist03_v10_full,True,5,0,0.357,26.99,217.337,9.996
seed3,2,switchdist03_v10_full,True,5,1,0.008,27.01,215.259,9.994
seed3,3,switchdist03_v10_full,True,5,4,0.004,27.63,219.789,10.0
seed3,4,switchdist03_v10_full,True,5,1,0.015,27.54,215.415,10.0
seed3,5,switchdist03_v10_full,True,5,0,0.288,27.26,213.854,9.994
seed4,1,switchdist03_v10_full,True,5,1,0.019,29.05,216.828,9.993
seed4,2,switchdist03_v10_full,True,5,2,0.025,28.37,216.685,9.997
seed4,3,switchdist03_v10_full,True,5,2,0.016,27.56,216.79,10.0
seed4,4,switchdist03_v10_full,True,5,4,0.017,27.41,212.782,10.0
seed4,5,switchdist03_v10_full,True,5,3,0.012,27.38,219.937,9.998
seed5,1,switchdist03_v10_full,True,5,3,0.01,28.99,216.33,9.999
seed5,2,switchdist03_v10_full,True,5,4,0.001,27.96,222.073,9.999
seed5,3,switchdist03_v10_full,True,5,6,0.002,28.9,221.101,10.0
seed5,4,switchdist03_v10_full,True,5,5,0.017,27.85,216.6,10.0
seed5,5,switchdist03_v10_full,True,5,4,0.017,28.25,218.667,10.0
seed6,1,switchdist03_v10_full,True,5,3,0.02,29.01,221.829,10.0
seed6,2,switchdist03_v10_full,True,5,4,0.019,27.4,216.721,10.0
seed6,3,switchdist03_v10_full,True,5,2,0.034,27.28,217.648,10.0
seed6,4,switchdist03_v10_full,True,5,7,0.007,28.5,219.273,10.0
seed6,5,switchdist03_v10_full,True,5,4,0.02,27.95,217.425,10.0
seed7,1,switchdist03_v10_full,True,5,16,0.007,30.73,220.205,9.998
seed7,2,switchdist03_v10_full,True,5,5,0.008,32.89,225.309,10.0
seed7,3,switchdist03_v10_full,True,5,6,0.025,30.18,220.772,9.995
seed7,4,switchdist03_v10_full,True,5,6,0.011,28.83,216.206,9.999
seed7,5,switchdist03_v10_full,True,5,13,0.003,29.95,222.752,9.999
seed8,1,switchdist03_v10_full,True,5,5,0.02,27.7,217.81,10.0
seed8,2,switchdist03_v10_full,True,5,4,0.028,27.91,216.757,10.0
seed8,3,switchdist03_v10_full,True,5,10,0.008,27.91,225.444,10.002
seed8,4,switchdist03_v10_full,True,5,6,0.008,28.42,218.079,10.001
seed8,5,switchdist03_v10_full,True,5,4,0.023,28.53,217.82,9.999
seed9,1,switchdist03_v10_full,True,5,19,0.001,31.31,220.275,9.999
seed9,2,switchdist03_v10_full,True,5,18,0.007,32.95,222.95,10.001
seed9,3,switchdist03_v10_full,True,5,12,0.007,30.57,219.054,10.0
seed9,4,switchdist03_v10_full,True,5,12,0.004,30.91,221.843,9.998
seed9,5,switchdist03_v10_full,True,5,22,0.006,31.72,222.158,10.001
seed10,1,switchdist03_v10_full,True,5,8,0.004,31.78,217.923,9.998
seed10,2,switchdist03_v10_full,False,2,3,0.019,85.0,91.115,10.001
seed10,3,switchdist03_v10_full,True,5,10,0.003,33.72,219.411,10.0
seed10,4,switchdist03_v10_full,True,5,13,0.007,31.01,223.238,10.0
seed10,5,switchdist03_v10_full,False,4,7,0.01,85.01,213.063,9.994
seed1,1,switchdist01_v10_full,True,5,2,0.015,27.66,221.555,10.0
seed1,2,switchdist01_v10_full,True,5,0,0.363,28.02,217.401,10.0
seed1,3,switchdist01_v10_full,True,5,1,0.109,26.55,215.494,10.0
seed1,4,switchdist01_v10_full,True,5,0,0.286,28.2,214.999,9.999
seed1,5,switchdist01_v10_full,True,5,0,0.374,27.48,214.323,10.0
seed2,1,switchdist01_v10_full,True,5,0,0.353,27.72,216.385,9.998
seed2,2,switchdist01_v10_full,True,5,0,0.366,27.44,217.099,9.999
seed2,3,switchdist01_v10_full,True,5,0,0.384,28.13,223.672,10.0
seed2,4,switchdist01_v10_full,True,5,0,0.335,28.35,219.61,9.999
seed2,5,switchdist01_v10_full,True,5,0,0.429,28.02,218.166,9.999
seed3,1,switchdist01_v10_full,True,5,1,0.084,28.65,219.022,9.999
seed3,2,switchdist01_v10_full,True,5,2,0.024,27.93,223.421,10.0
seed3,3,switchdist01_v10_full,True,5,2,0.1,27.28,214.975,9.996
seed3,4,switchdist01_v10_full,True,5,1,0.189,26.96,217.784,10.0
seed3,5,switchdist01_v10_full,False,1,1,0.099,85.0,68.583,10.0
