map,run,mode,success,mission_time_s,waypoints_reached,n_waypoints,collisions,min_clearance_m,samples,clearance_samples,final_x,final_y,final_z,min_x,max_x,min_y,max_y,path_length_m,max_speed_mps,closest_final_goal_distance_m,observed_open_time_s,observed_open_x,observed_open_y,observed_close_time_s,observed_close_x,observed_close_y,trap_collisions,trap_min_surface_distance_m,trap_clearance_m,trap_x,trap_y,trigger_x,trigger_y,trigger_mismatch_deg,trap_count,trap_spacing_m,trap_start_offset_m,trap_first_distance_m,trap_last_distance_m,trigger_speed_mps,trap_input_time_s,trap_kept_time_s,trap_keep_delay_s,input_body_relative_deg,input_velocity_relative_deg,kept_body_relative_deg,kept_velocity_relative_deg,trigger_trap_distance_m,trigger_trap_body_relative_deg,trigger_trap_velocity_relative_deg,trigger_trap_angular_radius_deg,trigger_predicted_x,trigger_predicted_y,trigger_trap_nudge_deg,trigger_trap_nudge_lateral_m,event,valid_spawn,invalid_reasons,spawn_time_s,spawn_wall_time_s,trigger_evaluation_time_s,trigger_evaluation_wall_time_s,side,trigger_threshold_x,trigger_z,trigger_yaw_deg,trigger_velocity_yaw_deg,trigger_cruise_duration_s,trigger_cruise_qualified,min_trigger_speed_mps,min_cruise_s,max_trigger_abs_y_m,max_trigger_velocity_yaw_deg,trigger_abs_y_diagnostic_ok,trigger_velocity_yaw_diagnostic_ok,wall_x,blocker_x,blocker_y,wall_y_min,wall_y_max,short_endpoint_y,short_endpoint_x,long_endpoint_y,long_endpoint_x,short_endpoint_inner_edge_deg,long_endpoint_inner_edge_deg,barrier_frame,local_blocker_forward_m,local_short_endpoint_forward_m,local_short_endpoint_lateral_m,local_long_endpoint_forward_m,local_long_endpoint_lateral_m,wall_radius_m,wall_height_m,wall_cylinder_count,wall_center_spacing_m,wall_point_count,horizon_m,intensity,matched_prefix,filter_half_angle_deg,filter_stall_v,filter_stall_t,filter_resume_v,filter_resume_t,filter_velocity_yaw_update_v,filter_frames,filter_input_points,filter_kept_points,filter_kept_pct,filter_armed,filter_armed_duty_pct,filter_open,filter_open_duty_pct,filter_open_point_duty_pct,filter_arm_transitions,filter_open_transitions,filter_close_transitions,filter_first_transition_time_s,filter_first_arm_time_s,filter_first_stall_candidate_time_s,filter_first_open_stall_start_time_s,filter_first_open_time_s,filter_first_open_delay_s,filter_first_close_time_s,filter_first_open_duration_s,filter_stall_candidate_count,filter_max_stall_candidate_duration_s,filter_min_armed_closed_speed_mps,recovery_triggered,recovery_reclosed,recovery_spawn_after_arm,recovery_open_after_spawn,recovery_open_during_hold,recovery_success,mission_driver_phase,mission_driver_start_delay_s,mission_driver_approach_radius_m,mission_driver_hold_low_speed_s,mission_driver_low_speed_v,mission_driver_approach_start_time_s,mission_driver_approach_start_wall_time_s,mission_driver_approach_start_speed_mps,mission_driver_hold_start_time_s,mission_driver_hold_start_wall_time_s,mission_driver_hold_start_speed_mps,mission_driver_hold_start_distance_m,mission_driver_release_time_s,mission_driver_release_wall_time_s,mission_driver_release_speed_mps,mission_driver_release_low_speed_duration_s,pts_mean,total_ms_mean,raycast_ms_mean,update_ms_mean,inflation_ms_mean,kept_pct,fsm_cpu_pct,filter_cpu_pct,perf_row_start,perf_row_end,input_distance_m,kept_distance_m
seed11,3,raw,True,72.94,2,2,0,0.279,7289,7267,-1.661,-48.952,1.406,-7.471,2.967,-48.952,50.01,211.55,3.001,1.964,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63211.29752066116,12.798740041322315,5.020233801652893,7.776524297520661,3.4767157272727274,,87.16361097227966,,3,245,,
seed11,3,full,True,73.92,2,2,0,0.243,7386,7354,0.446,-48.067,1.407,-5.99,3.071,-48.067,50.022,213.59,3.011,1.984,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,320,20943517,20943517,100.0,False,0.0,True,100.0,100.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,65890.58762886598,15.200189845360825,5.672602680412371,9.525388711340206,4.3927997371134015,100.0,92.48647520106579,10.228017005202748,0,194,,
seed11,4,adaptive,True,73.39,2,2,0,0.349,7333,7139,0.344,-48.053,1.414,-4.608,1.184,-48.053,50.013,214.169,3.005,1.977,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,301,20876430,6855044,32.836,True,97.01,False,0.0,0.0,1,0,0,1785833936.590981,1785833936.590981,1785833971.280767,,,,,,1,0.129718,0.039801,,,,,,,,,,,,,,,,,,,,,,,22447.82857142857,6.02438725,2.012086178571429,4.0101375,2.014220157142857,32.836,88.86411007037394,12.071590299470476,2,282,,
seed11,4,raw,True,73.64,2,2,1,0.011,7358,7333,0.373,-48.044,1.411,-2.274,3.717,-48.044,50.034,213.869,3.001,1.991,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70499.39772727272,14.158276363636363,5.368340568181819,8.788160227272728,4.006883545454546,,85.43799456751245,,2,178,,
seed11,4,full,True,76.45,2,2,0,0.214,7639,7568,0.62,-48.116,1.893,-6.246,3.864,-48.116,50.064,216.696,3.002,1.984,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,234,15926915,15926915,100.0,False,0.0,True,100.0,100.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,68266.0294117647,15.934364705882352,5.3630177205882354,10.569285147058823,5.15970875,100.0,91.04896430274766,10.135821130107812,0,136,,
seed11,4,sector,True,72.88,2,2,0,0.317,7280,7266,-1.652,-48.948,1.58,-7.464,1.034,-48.948,50.047,213.333,3.001,1.958,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,272,17797346,5808973,32.64,False,0.0,False,0.0,0.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,21016.894117647058,6.259035019607842,2.037833545098039,4.21916231372549,2.120819074509804,32.64,86.13049201848146,10.85504721749221,3,258,,
seed11,5,raw,True,74.57,2,2,0,0.273,7453,7439,0.349,-48.076,1.487,-6.866,7.043,-48.076,50.156,215.207,3.002,1.955,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64647.51269035533,13.738950558375633,4.931045482233502,8.805908223350254,4.086636558375634,,89.10419797256313,,3,200,,
seed11,5,full,True,75.39,2,2,1,0.051,7532,7499,0.593,-48.093,1.963,-6.973,4.1,-48.093,50.14,217.129,3.001,1.997,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,239,15259947,15259947,100.0,False,0.0,True,100.0,100.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,64031.083333333336,14.918855512820514,5.071938397435897,9.844944358974358,4.75239108974359,100.0,86.95226294698429,9.954098579958618,0,156,,
seed11,5,sector,True,72.95,2,2,0,0.284,7284,7220,0.337,-48.041,1.608,-3.372,7.031,-48.041,50.025,212.454,3.001,1.988,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,312,19372373,6355686,32.808,False,0.0,False,0.0,0.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,20304.46103896104,6.371803733766234,2.077706168831169,4.292122272727273,2.1610725194805194,32.808,88.01887168422527,11.171860721806928,2,310,,
seed11,5,adaptive,True,72.29,2,2,0,0.301,7223,7187,-1.676,-48.937,1.329,-7.41,1.387,-48.937,50.09,211.424,3.001,1.985,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,292,19857068,6457196,32.518,True,95.89,False,0.0,0.0,1,0,0,1785834520.290364,1785834520.290364,1785834554.740135,,,,,,1,0.109955,0.15891,,,,,,,,,,,,,,,,,,,,,,,21875.760869565216,6.160988188405797,2.0643463768115944,4.094487173913044,2.0846546594202895,32.518,91.91930679707366,12.313733579407092,4,280,,
