map,mode,n,complete,completion_pct,collision_runs,collision_events,run_valid_count,speed_limit_valid_count,resource_valid_count,first_attempt_count,retry_total,resource_abort_total,algorithm_cpu_scope,end_to_end_cpu_scope,mission_time_mean_all_s,mission_time_sd_all_s,mission_time_mean_success_s,mission_time_min_s,mission_time_max_s,clearance_mean_m,clearance_min_m,clearance_below_0p20_count,effective_full_open_total,effective_full_open_mean,system_available_min_mib,system_peak_swap_max_mib,psi_some_avg10_max,psi_full_avg10_max,preflight_wait_mean_s,mission_time_s,map_compute_ms_per_frame,algorithm_cores_mean,algorithm_core_s,algorithm_cores_p95_1s,algorithm_peak_pss_mib,end_to_end_cores_mean,end_to_end_core_s,end_to_end_cores_p95_1s,end_to_end_peak_pss_mib,planner_ingress_mib_s,dds_algorithm_mib_s
seed6,adaptive,10,10,100.0,0,0.0,10,10,10,10,0,0,planner_only,simulator+frontend+planner+mission,61.043,4.084899155561998,61.043,56.65,67.62,0.2595,0.157,1,208,20.8,4925.26171875,2044.22265625,0.0,0.0,5.00843203139957,61.043,19.290805264665746,1.0309498671065465,64.516109,1.227714893189852,3189.3904296875,1.306320544600701,81.8120035,1.4990939616680348,3490.3345703125,2.25119270145709,2.253926628821902
seed7,full,10,10,100.0,0,0.0,10,10,10,10,0,0,simulator+planner,simulator+frontend+planner+mission,65.625,3.571719940495521,65.625,60.36,71.16,0.2723,0.196,1,0,,4803.3984375,2044.0546875,0.0,0.0,5.008923255305854,65.625,33.147540955815614,1.4589647354858766,98.6273756,1.6779065040770775,3474.415625,1.503774051889948,101.6581492,1.724266438077947,3520.92099609375,11.986841780327216,
seed7,sector,10,10,100.0,0,0.0,10,10,10,10,0,0,planner_only,simulator+frontend+planner+mission,62.523,3.2902382554729663,62.523,57.8,68.03,0.26180000000000003,0.141,1,0,0.0,4872.49609375,2044.05078125,0.0,0.0,5.00873476479901,62.523,9.718834705997395,1.027347793453782,66.0533427,1.217324923958397,3174.44453125,1.2745485021669831,81.9613792,1.4640717632270883,3484.04443359375,3.6064629268933968,3.6064629268933968
seed7,adaptive,10,10,100.0,0,0.0,10,10,10,10,0,0,planner_only,simulator+frontend+planner+mission,63.489999999999995,2.1031088099921655,63.489999999999995,61.13,67.09,0.2457,0.146,1,212,21.2,4784.86328125,2044.05078125,0.0,0.0,5.009057983499952,63.489999999999995,20.785530624142147,1.0169724624350205,66.4358247,1.2355039402680177,3193.26376953125,1.308871794893081,85.5208584,1.524156567174064,3571.46787109375,2.758832300987876,2.761561045972341
seed8,full,10,10,100.0,0,0.0,10,10,10,10,0,0,simulator+planner,simulator+frontend+planner+mission,61.273,3.0426160162304767,61.273,57.56,66.21,0.2745,0.233,0,0,,4797.78125,2043.96484375,0.0,0.0,5.009083371696761,61.273,34.79651540569404,1.4895902856551815,94.2362199,1.6899554394559633,3445.45234375,1.5337398339518693,97.02976029999999,1.7350707112480055,3492.0138671875,11.070767733518958,
seed8,sector,10,10,100.0,0,0.0,10,10,10,10,0,0,planner_only,simulator+frontend+planner+mission,62.01,4.8620411808667825,62.01,56.18,73.0,0.2579,0.12,1,0,0.0,4795.51171875,2043.96484375,0.0,0.0,5.008531142596621,62.01,9.972730658334253,1.0137923933841801,64.4264749,1.2172631859003575,3180.985546875,1.2653887748744435,80.4752899,1.463461529339595,3501.5853515625,3.1060105782013596,3.1060105782013596
seed8,adaptive,10,10,100.0,0,0.0,10,10,10,10,0,0,planner_only,simulator+frontend+planner+mission,60.213,2.6858478901249936,60.213,55.21,63.44,0.2463,0.202,0,217,21.7,4790.0546875,2043.96484375,0.0,0.0,5.008567611101898,60.213,20.965891443830703,1.0362325397834549,64.1537117,1.2374842661372871,3179.566015625,1.3235368790708537,81.9593428,1.5221881820247891,3514.72783203125,2.4584818254131453,2.461219992034043
seed9,full,10,10,100.0,0,0.0,10,10,10,10,0,0,simulator+planner,simulator+frontend+planner+mission,72.041,8.335103078746737,72.041,63.5,93.18,0.2547,0.193,1,0,,4637.625,2043.8125,0.0,0.0,5.009038680998492,72.041,31.503678976363034,1.433340098466397,105.53673409999999,1.6775666609064082,3508.1576171875,1.4790576462561245,108.9111188,1.725987953912299,3555.028515625,13.810888053092771,
seed9,sector,10,10,100.0,1,1.0,10,10,10,10,0,0,planner_only,simulator+frontend+planner+mission,73.048,4.369652414348561,73.048,64.29,78.14,0.1987,-0.194,3,0,0.0,4638.14453125,2043.8125,0.0,0.0,5.008993751302478,73.048,9.256811296087989,0.9832618131429905,73.4198226,1.2151594068342242,3198.80458984375,1.2508624117953928,93.43931979999999,1.4806828244594075,3577.59296875,4.444926000498598,4.444926000498598
seed9,adaptive,10,10,100.0,0,0.0,10,10,10,10,0,0,planner_only,simulator+frontend+planner+mission,72.67099999999999,6.353477525471123,72.67099999999999,62.18,81.43,0.2512,0.207,0,198,19.8,4561.82421875,2043.82421875,0.0,0.0,5.008783084800234,72.67099999999999,20.974878232677444,1.0056850806597528,74.7657685,1.2383256745581237,3215.25859375,1.3092359473260724,97.4039839,1.5408905372274952,3647.486328125,3.417968572277323,3.420670502684805
seed10,full,10,10,100.0,0,0.0,10,10,10,10,0,0,simulator+planner,simulator+frontend+planner+mission,70.988,1.762011476819732,70.988,68.05,74.12,0.248,0.196,1,0,,4480.45703125,2045.640625,0.0,0.0,9.214789333502996,70.988,31.950750913071516,1.4385618329616667,104.8676798,1.675884296318546,3505.734375,1.4836295119713148,108.1534787,1.7237303348369153,3552.67001953125,13.364308935898391,
seed10,sector,10,10,100.0,0,0.0,10,10,10,10,0,0,planner_only,simulator+frontend+planner+mission,68.119,3.116406227977633,68.119,63.48,74.41,0.2502,0.207,0,0,0.0,4620.171875,2045.63671875,0.0,0.0,15.32569692619727,68.119,9.438745080041855,1.0070490148137794,70.5295511,1.219240033655603,3185.900390625,1.2650039191820588,88.6190214,1.4802227813621551,3545.41142578125,4.16218355155734,4.16218355155734
seed10,adaptive,10,10,100.0,0,0.0,10,10,10,10,0,0,planner_only,simulator+frontend+planner+mission,69.724,4.389042416442719,69.724,65.28,81.01,0.2592,0.218,0,180,18.0,4460.39453125,2045.6328125,0.0,0.0,5.609991203909158,69.724,22.122816518742972,1.0048259232141836,71.9877974,1.2506215475545475,3220.3955078125,1.3106604764563838,93.9376446,1.5592945769566744,3649.77607421875,3.212392740804966,3.2151050612615313
