map,run,mode,success,mission_time_s,waypoints_reached,n_waypoints,collisions,min_clearance_m,samples,pts_mean,total_ms_mean,raycast_ms_mean,update_ms_mean,inflation_ms_mean,kept_pct,fsm_cpu_pct,filter_cpu_pct,perf_row_start,perf_row_end
seed2,1,sector,True,39.03,5,5,0,0.618,3902,2188.150717703349,0.4981622799043062,0.15645088038277513,0.34008052392344496,0.17097236363636364,33,81.5248279822522,7.675883650880057,0,418
seed2,1,adaptive,True,39.92,5,5,0,0.814,3989,1983.1615925058547,0.49338738173302105,0.15174351288056204,0.3404105807962529,0.17234984543325527,32,82.04238178161178,7.865578034474373,0,427
seed2,2,full,True,38.58,5,5,0,0.578,3852,6610.722222222223,1.1776146280193236,0.4688402898550724,0.7075206400966184,0.29124872463768114,,85.49481690913703,7.053755552136473,0,414
seed2,2,sector,True,39.65,5,5,0,0.604,3960,2247.441037735849,0.5206031155660378,0.16629210613207548,0.35304229952830185,0.17768516273584906,33,85.33552692532174,8.094126980163498,0,424
seed2,2,adaptive,True,39.04,5,5,0,0.673,3903,2121.0478468899523,0.4995306866028708,0.1575923851674641,0.3406577009569378,0.1745256052631579,33,87.13155278644213,7.85611540975671,0,418
seed2,3,full,True,40.51,5,5,0,0.602,4042,6388.803695150115,1.1760181478060046,0.47667549653579677,0.697926974595843,0.28200589607390303,,86.28599625462324,7.0990601603161805,0,433
seed2,3,sector,True,39.71,5,5,0,0.633,3962,2181.4729411764706,0.5071772282352941,0.16058850823529414,0.34542843529411765,0.17218049647058825,33,82.09884068354872,7.916735930402109,0,425
seed2,3,adaptive,True,38.48,5,5,0,0.701,3842,2092.406779661017,0.5066854866828088,0.1535539927360775,0.35189250363196123,0.17653250121065375,32,84.81789291620579,7.950840591536428,0,413
seed2,4,full,True,39.85,5,5,0,0.756,3984,6389.023419203747,1.1738424637002343,0.46485361124121777,0.7075591943793911,0.2898588594847775,,84.64221104764583,6.805318368537322,0,427
seed2,4,sector,True,38.79,5,5,0,0.732,3872,2150.043373493976,0.5160211855421686,0.16039153493975905,0.354416643373494,0.17877735421686747,33,84.7720756751584,7.755381780384636,0,415
seed2,4,adaptive,True,39.48,5,5,0,0.662,3942,2050.449172576832,0.5069974515366431,0.15436517257683213,0.3513721725768321,0.1796574208037825,31,82.16971108476939,7.571687533451166,0,423
seed2,5,full,True,39.47,5,5,0,0.683,3944,6358.203309692672,1.17852268321513,0.4624165697399527,0.7145548747044917,0.2846706855791962,,84.94108231758605,7.285029330917409,0,423
seed2,5,sector,True,39.65,5,5,0,0.66,3962,2133.002358490566,0.48815432311320756,0.15523067924528303,0.3316073891509434,0.16620837971698113,33,84.0928560539562,7.788401086266303,0,424
seed2,5,adaptive,True,38.9,5,5,0,0.497,3889,2125.3812949640287,0.5129435419664269,0.15572329256594725,0.35606170743405274,0.181021896882494,32,80.43225577429558,7.670661919426797,0,417
