map,run,mode,success,mission_time_s,waypoints_reached,n_waypoints,collisions,min_clearance_m,samples,pts_mean,total_ms_mean,raycast_ms_mean,update_ms_mean,inflation_ms_mean,kept_pct,perf_row_start,perf_row_end
seed2,3,adaptive,True,28.22,5,5,0,0.509,2813,3938.6993006993007,1.2145016363636363,0.3604361153846154,0.8525524125874127,0.47240040209790213,32,0,286
seed2,4,full,True,28.54,5,5,0,0.573,2844,12054.887323943662,2.7484010211267607,1.109759408450704,1.6367854894366196,0.7307670809859155,,0,284
seed2,4,sector,True,27.43,5,5,0,0.489,2735,4117.277992277992,1.2684322934362935,0.3835370115830116,0.8831074247104248,0.49053666409266405,32,0,259
seed2,4,adaptive,True,27.07,5,5,0,0.553,2654,3868.0530303030305,0.8567270227272727,0.2508933787878788,0.6046896704545455,0.3082531060606061,32,0,264
seed2,5,full,True,28.32,5,5,0,0.426,2784,12875.943609022557,2.0967024511278196,0.8434339661654136,1.2517159323308271,0.5092577894736842,,0,266
seed2,5,sector,True,27.39,5,5,0,0.516,2713,3920.4444444444443,0.8570504592592593,0.26660337037037035,0.588976937037037,0.29920335555555555,32,0,270
seed2,5,adaptive,True,28.43,5,5,0,0.382,2842,4081.171755725191,0.8487903053435114,0.26497732824427483,0.5824752595419848,0.2971278015267176,33,0,262
seed3,1,full,True,26.7,5,5,0,0.56,2655,16369.478260869566,3.2651078260869566,1.0422109130434782,2.2212962782608696,1.0867131391304348,,0,115
seed3,1,sector,True,25.71,5,5,0,0.49,2536,5555.796407185629,1.341285371257485,0.35497313173652695,0.9848588143712574,0.5465182335329342,31,0,167
seed3,1,adaptive,True,27.06,5,5,0,0.605,2642,5542.706976744186,1.2476206046511626,0.3625011767441861,0.8838250465116279,0.4686147441860465,29,0,215
seed3,2,full,True,26.76,5,5,0,0.557,2623,16236.18487394958,3.321948151260504,1.0542237394957983,2.266091806722689,1.1242583445378151,,0,119
seed3,2,sector,True,27.22,5,5,0,0.463,2692,5229.95205479452,1.3519278493150686,0.3370787328767123,1.0134401369863015,0.5796671438356165,30,0,146
seed3,2,adaptive,True,26.42,5,5,0,0.428,2590,5527.351515151515,1.357463090909091,0.3558261272727272,0.9999652606060606,0.5667171151515151,30,0,165
seed3,3,full,True,26.98,5,5,0,0.471,2674,16208.0625,3.5645630208333334,1.0114620833333334,2.55152621875,1.28634028125,,0,96
seed3,3,sector,True,26.18,5,5,0,0.484,2559,5193.852112676056,1.2608302887323943,0.312180985915493,0.9472815281690141,0.5382221478873239,30,0,142
seed3,3,adaptive,True,26.93,5,5,0,0.47,2595,5429.566929133858,1.4781762992125984,0.35164892125984254,1.1252339763779526,0.6524313543307086,32,0,127
seed3,4,full,True,26.87,5,5,0,0.572,2655,16013.078260869564,3.122902347826087,0.9531238347826086,2.167784617391304,1.0099434260869564,,0,115
seed3,4,sector,True,26.14,5,5,0,0.512,2574,5471.3359375,1.351803359375,0.3357552734375,1.0146974999999998,0.5779902109375,31,0,128
seed3,4,adaptive,True,26.47,5,5,0,0.537,2622,5656.94,1.4378754,0.3603852666666667,1.0760074466666667,0.6074415,31,0,150
seed3,5,full,True,26.94,5,5,0,0.52,2679,15870.435185185184,3.3118043518518516,0.9471587407407407,2.363249833333333,1.1057815462962963,,0,108
seed3,5,sector,True,26.52,5,5,0,0.517,2544,5092.207207207207,1.3751037657657659,0.3167825855855856,1.0571085045045046,0.6183796576576577,30,0,111
seed3,5,adaptive,True,25.99,5,5,0,0.5,2497,5350.962962962963,1.3754268444444444,0.322517,1.0516072222222221,0.607613311111111,30,0,135
seed4,1,full,True,27.8,5,5,0,0.437,2768,15550.156626506025,3.0662651204819276,1.0535363795180723,2.011139156626506,0.9165889819277109,,0,166
seed4,1,sector,True,27.43,5,5,0,0.441,2728,5110.869318181818,1.2912690340909092,0.3341004886363636,0.9556988295454545,0.5311161420454545,32,0,176
seed4,1,adaptive,True,26.62,5,5,0,0.516,2627,5112.79797979798,1.2659462323232322,0.34336709595959597,0.9211330858585859,0.4983043484848485,31,0,198
seed4,2,full,True,26.55,5,5,0,0.596,2638,15036.135135135135,3.1756861486486487,1.032869054054054,2.141348081081081,1.0195855472972972,,0,148
seed4,2,sector,True,27.47,5,5,0,0.48,2737,5218.119760479042,1.237382245508982,0.3317242874251497,0.9043879880239521,0.4970658383233533,34,0,167
