map,run,mode,success,mission_time_s,waypoints_reached,n_waypoints,collisions,min_clearance_m,samples,pts_mean,total_ms_mean,raycast_ms_mean,update_ms_mean,inflation_ms_mean,kept_pct,fsm_cpu_pct,filter_cpu_pct,perf_row_start,perf_row_end
seed1,5,sector,True,26.77,5,5,0,0.561,2653,4074.01171875,1.2457413203124998,0.3717906875,0.8724545078125,0.48482864453125,33,98.98038819569432,11.96326711175336,0,256
seed1,5,adaptive,True,27.05,5,5,0,0.567,2682,4040.396226415094,1.2474521735849056,0.38059733962264153,0.865244441509434,0.47657753207547165,32,97.26230963917997,11.528046730005862,0,265
seed2,1,full,True,28.12,5,5,0,0.476,2808,12582.550943396227,2.7619443622641513,1.1305843018867925,1.6296356113207549,0.7206562981132076,,99.6812110502395,10.523314569677897,0,265
seed2,1,sector,True,28.16,5,5,0,0.482,2807,4074.1971326164876,1.1970747491039426,0.37754664516129033,0.8178923906810036,0.4451631290322581,32,99.779378424761,11.50255628922275,0,279
seed2,1,adaptive,True,29.18,5,5,0,0.511,2911,4119.578397212544,1.1764505888501742,0.3588159303135889,0.8162220243902438,0.4541421533101045,33,98.73767268481318,11.616851972116645,0,287
seed2,2,full,True,28.24,5,5,0,0.291,2816,12741.524528301887,2.6811730566037735,1.0923813018867923,1.5869542566037735,0.7282739169811321,,101.02410597091807,10.384541235968202,0,265
seed2,2,sector,True,27.68,5,5,0,0.407,2764,4071.127819548872,1.2115981390977444,0.37199269924812034,0.8378159812030075,0.46080082330827066,32,101.2646208022105,11.013213873086881,0,266
seed2,2,adaptive,True,30.11,5,5,0,0.574,3008,3881.6464646464647,1.1581088922558924,0.3566517811447812,0.799849962962963,0.435710468013468,32,98.67702642118827,11.47511083912308,0,297
seed2,3,full,True,28.55,5,5,0,0.566,2846,12103.282142857142,2.6681051428571427,1.1058673571428572,1.5603565714285714,0.6924589357142857,,102.33005189027895,10.415022635047997,0,280
seed2,3,sector,True,30.91,5,5,0,0.419,3085,3866.370607028754,1.1203661757188499,0.3497367891373802,0.7691174504792333,0.41558971884984025,32,96.59542627097692,11.34454215077374,0,313
seed2,3,adaptive,True,28.25,5,5,0,0.473,2822,4034.4322344322345,1.1763807765567766,0.3549554945054945,0.8199500256410256,0.4541104615384616,32,98.48142979114289,11.079893444116076,0,273
seed2,4,full,True,27.86,5,5,0,0.413,2773,12734.820610687022,2.7268189618320613,1.0945680152671755,1.6303580916030533,0.7345465916030535,,97.56250546942488,10.425307742163616,0,262
seed2,4,sector,True,28.39,5,5,0,0.508,2833,4054.9236641221373,1.2176195343511451,0.3718006145038168,0.8442917290076336,0.46329037404580153,33,98.77644733814968,11.459221174851146,0,262
seed2,4,adaptive,True,28.63,5,5,0,0.544,2859,3830.38566552901,1.1855541501706484,0.35579573720136515,0.8281700000000001,0.45354235153583616,32,98.33011711511936,11.431891049779136,0,293
seed2,5,full,True,28.41,5,5,0,0.474,2832,12448.338403041826,2.678322433460076,1.100889102661597,1.575432330798479,0.7076630988593156,,100.70581331003619,10.434336085698549,0,263
seed2,5,sector,True,28.23,5,5,0,0.552,2819,3992.679104477612,1.130337932835821,0.35210177611940296,0.7767068880597015,0.4247013619402985,32,99.03046683190034,11.49600248699741,0,268
seed2,5,adaptive,True,28.11,5,5,0,0.493,2798,4063.2909090909093,1.195378469090909,0.3653722327272727,0.8283641309090909,0.45625563636363636,33,98.39357168771357,11.202117508236624,0,275
seed3,1,full,True,26.66,5,5,0,0.574,2651,17272.489208633095,4.400254748201438,1.4466127050359712,2.9516460287769783,1.5376006978417265,,99.22452316998877,10.156222302215388,0,139
seed3,1,sector,True,26.7,5,5,0,0.591,2649,5875.76,1.756091415,0.50478485,1.24936826,0.723776515,32,98.37078495764473,11.599905578235113,0,200
seed3,1,adaptive,True,27.29,5,5,0,0.533,2701,5534.918128654971,1.845037239766082,0.47469677777777775,1.3687945263157895,0.8149899707602339,31,95.61421521796824,11.339533731338854,0,171
seed3,2,full,True,27.25,5,5,0,0.48,2698,17557.149425287356,4.073374942528736,1.4893835862068965,2.5820073045977012,1.2579132241379312,,100.58704829599387,10.573231858634317,0,174
seed3,2,sector,True,27.69,5,5,0,0.538,2744,5399.172413793103,1.766447511494253,0.4616007413793104,1.3031376896551723,0.7714341954022989,31,98.19198068798282,11.389958945057575,0,174
seed3,2,adaptive,True,26.77,5,5,0,0.531,2665,5630.040816326531,1.8042718928571428,0.49987554591836736,1.3028693112244898,0.7547138010204082,30,98.29020901014295,11.578675632641247,0,196
seed3,3,full,True,26.68,5,5,0,0.457,2651,16877.566176470587,4.264874852941176,1.386590492647059,2.8764192720588238,1.4515881838235294,,97.66019401589882,10.889284962361137,0,136
seed3,3,sector,True,28.32,5,5,0,0.527,2797,5410.839779005525,1.7897964309392265,0.4832020994475138,1.3048951049723758,0.7657865248618784,31,98.68068077117948,11.358596748853243,0,181
seed3,3,adaptive,True,26.83,5,5,0,0.496,2620,5528.511111111111,1.8532969444444445,0.48341169444444443,1.3682405444444443,0.8176580277777777,30,96.89909465150492,11.415080202176606,0,180
seed3,4,full,True,26.87,5,5,0,0.414,2669,17051.026845637585,4.1796189932885905,1.4305526510067115,2.7470319597315433,1.3793865302013422,,100.00497113106107,10.724562650826991,0,149
seed3,4,sector,True,26.79,5,5,0,0.497,2620,5415.389937106918,1.8931092264150944,0.48129238993710693,1.4101739496855346,0.8478032138364779,30,96.88562446865934,10.885947187050562,0,159
seed3,4,adaptive,True,27.91,5,5,0,0.451,2770,5666.20942408377,1.816496827225131,0.49117614136125654,1.3235793979057593,0.7830347329842933,31,93.52526388512445,10.93717444405667,0,191
