map,run,mode,success,mission_time_s,waypoints_reached,n_waypoints,collisions,min_clearance_m,static_pcd_collisions,static_pcd_min_distance_m,static_pcd_clearance_m,contact_event_count,first_contact_kind,first_contact_time_s,first_contact_distance_m,first_contact_x,first_contact_y,first_contact_z,first_contact_speed_mps,first_contact_nearest_x,first_contact_nearest_y,first_contact_nearest_z,forensics_json,samples,clearance_samples,final_x,final_y,final_z,min_x,max_x,min_y,max_y,path_length_m,max_speed_mps,closest_final_goal_distance_m,observed_open_time_s,observed_open_x,observed_open_y,observed_close_time_s,observed_close_x,observed_close_y,trap_collisions,trap_min_surface_distance_m,trap_clearance_m,trap_x,trap_y,trigger_x,trigger_y,trigger_mismatch_deg,trap_count,trap_spacing_m,trap_start_offset_m,trap_first_distance_m,trap_last_distance_m,trigger_speed_mps,trap_input_time_s,trap_kept_time_s,trap_keep_delay_s,input_body_relative_deg,input_velocity_relative_deg,kept_body_relative_deg,kept_velocity_relative_deg,trigger_trap_distance_m,trigger_trap_body_relative_deg,trigger_trap_velocity_relative_deg,trigger_trap_angular_radius_deg,trigger_predicted_x,trigger_predicted_y,trigger_trap_nudge_deg,trigger_trap_nudge_lateral_m,event,valid_spawn,invalid_reasons,spawn_time_s,spawn_wall_time_s,trigger_evaluation_time_s,trigger_evaluation_wall_time_s,side,trigger_threshold_x,trigger_z,trigger_yaw_deg,trigger_velocity_yaw_deg,trigger_cruise_duration_s,trigger_cruise_qualified,min_trigger_speed_mps,min_cruise_s,max_trigger_abs_y_m,max_trigger_velocity_yaw_deg,trigger_abs_y_diagnostic_ok,trigger_velocity_yaw_diagnostic_ok,wall_x,blocker_x,blocker_y,wall_y_min,wall_y_max,short_endpoint_y,short_endpoint_x,long_endpoint_y,long_endpoint_x,short_endpoint_inner_edge_deg,long_endpoint_inner_edge_deg,barrier_frame,local_blocker_forward_m,local_short_endpoint_forward_m,local_short_endpoint_lateral_m,local_long_endpoint_forward_m,local_long_endpoint_lateral_m,wall_radius_m,wall_height_m,wall_cylinder_count,wall_center_spacing_m,wall_point_count,horizon_m,intensity,matched_prefix,filter_half_angle_deg,filter_stall_v,filter_stall_t,filter_resume_v,filter_resume_t,filter_velocity_yaw_update_v,filter_frames,filter_input_points,filter_kept_points,filter_kept_pct,filter_armed,filter_armed_duty_pct,filter_open,filter_open_duty_pct,filter_open_point_duty_pct,filter_arm_transitions,filter_open_transitions,filter_close_transitions,filter_first_transition_time_s,filter_first_arm_time_s,filter_first_stall_candidate_time_s,filter_first_open_stall_start_time_s,filter_first_open_time_s,filter_first_open_delay_s,filter_first_close_time_s,filter_first_open_duration_s,filter_stall_candidate_count,filter_max_stall_candidate_duration_s,filter_min_armed_closed_speed_mps,recovery_triggered,recovery_reclosed,recovery_spawn_after_arm,recovery_open_after_spawn,recovery_open_during_hold,recovery_success,mission_driver_phase,mission_driver_start_delay_s,mission_driver_approach_radius_m,mission_driver_hold_low_speed_s,mission_driver_low_speed_v,mission_driver_approach_start_time_s,mission_driver_approach_start_wall_time_s,mission_driver_approach_start_speed_mps,mission_driver_hold_start_time_s,mission_driver_hold_start_wall_time_s,mission_driver_hold_start_speed_mps,mission_driver_hold_start_distance_m,mission_driver_release_time_s,mission_driver_release_wall_time_s,mission_driver_release_speed_mps,mission_driver_release_low_speed_duration_s,pts_mean,total_ms_mean,raycast_ms_mean,update_ms_mean,inflation_ms_mean,kept_pct,fsm_cpu_pct,filter_cpu_pct,monitor_cpu_pct,perf_row_start,perf_row_end,input_distance_m,kept_distance_m
seed11,10,adaptive,True,73.85,2,2,0,0.348,0,0.425,0.225,0,,,,,,,,,,,results/native_seed11_raw_adaptive_n30_pre_occupancy_capture_forensics/seed11_run10_adaptive.json,7370,7353,0.26,-48.039,1.619,-5.281,1.653,-48.039,50.074,214.379,3.001,1.979,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,347,23380149,7632455,32.645,True,96.83,False,0.0,0.0,1,0,0,1785896987.531148,1785896987.531148,1785897024.231011,,,,,,2,0.289687,0.0,,,,,,,,,,,,,,,,,,,,,,,21608.080745341616,6.856289006211179,2.2447561490683228,4.609519875776398,2.3348771894409937,32.645,95.39150819356026,13.051694400068259,59.04361770472157,3,325,,
seed11,10,raw,True,72.76,2,2,0,0.256,0,0.349,0.149,0,,,,,,,,,,,results/native_seed11_raw_adaptive_n30_pre_occupancy_capture_forensics/seed11_run10_raw.json,7264,7233,0.337,-48.03,1.151,-6.099,2.286,-48.03,50.085,211.084,3.004,1.999,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68277.26099706745,13.28260659824047,5.86169926686217,7.41888991202346,3.132629560117302,,99.70575786358737,,56.96875995305867,4,345,,
seed11,11,raw,True,74.6,2,2,0,0.287,0,0.397,0.197,0,,,,,,,,,,,results/native_seed11_raw_adaptive_n30_pre_occupancy_capture_forensics/seed11_run11_raw.json,7445,7329,0.361,-48.056,1.845,-3.87,2.834,-48.056,50.025,215.548,3.002,1.977,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68768.99539170507,15.522122488479264,6.141954562211982,9.3780433640553,4.260513225806451,,95.64874649389988,,56.337021313092734,5,222,,
seed11,11,adaptive,True,73.53,2,2,0,0.296,0,0.378,0.178,0,,,,,,,,,,,results/native_seed11_raw_adaptive_n30_pre_occupancy_capture_forensics/seed11_run11_adaptive.json,7336,7294,0.31,-48.035,1.159,-6.033,5.226,-48.035,50.096,213.16,3.001,1.99,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,391,26801415,8715189,32.518,True,98.21,False,0.0,0.0,1,0,0,1785897238.277376,1785897238.277376,1785897274.487179,,,,,,1,0.120183,0.076857,,,,,,,,,,,,,,,,,,,,,,,21894.67127071823,6.49422093922652,2.184579143646409,4.307593508287293,2.156423502762431,32.518,95.8939837840638,13.998669904966178,58.793695186009096,2,364,,
seed11,12,adaptive,True,75.03,2,2,0,0.232,0,0.314,0.114,0,,,,,,,,,,,results/native_seed11_raw_adaptive_n30_pre_occupancy_capture_forensics/seed11_run12_adaptive.json,7486,7451,0.305,-48.025,1.586,-4.454,1.928,-48.025,49.989,215.073,3.001,1.998,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,276,19034838,6159926,32.361,True,97.101,False,0.0,0.0,1,0,0,1785897321.594662,1785897321.594662,1785897330.884401,,,,,,3,0.200027,0.042867,,,,,,,,,,,,,,,,,,,,,,,21968.494252873563,7.2552247126436775,2.303706551724138,4.949558888888888,2.572510268199234,32.361,94.68520190158061,13.025062362662823,58.03093746188661,1,262,,
seed11,12,raw,True,73.95,2,2,3,0.01,2,0.025,-0.175,5,live_cloud,1.4041,0.18333,1.1321899890899658,-43.26721954345703,1.7095500230789185,2.99575,1.1222000122070312,-43.11212158203125,1.6123199462890625,results/native_seed11_raw_adaptive_n30_pre_occupancy_capture_forensics/seed11_run12_raw.json,7385,7342,0.381,-48.071,1.374,-2.381,3.336,-48.071,50.097,213.759,3.004,1.966,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69332.66981132075,15.092091650943397,5.873721367924529,9.216358254716981,4.167594811320755,,95.73799613151094,,56.634647671609635,3,215,,
seed11,13,raw,True,72.51,2,2,0,0.238,0,0.33,0.13,0,,,,,,,,,,,results/native_seed11_raw_adaptive_n30_pre_occupancy_capture_forensics/seed11_run13_raw.json,7235,7119,0.345,-48.032,1.408,-3.255,2.458,-48.032,50.05,210.856,3.002,1.998,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67537.63636363637,14.59362324110672,6.04562071146245,8.54571324110672,3.757787233201581,,98.34044917963293,,56.61675642328817,4,257,,
seed11,13,adaptive,True,72.61,2,2,0,0.305,0,0.322,0.122,0,,,,,,,,,,,results/native_seed11_raw_adaptive_n30_pre_occupancy_capture_forensics/seed11_run13_adaptive.json,7250,7202,0.305,-48.032,1.685,-3.544,3.621,-48.032,50.018,210.827,3.001,1.992,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,345,23532397,7642204,32.475,True,94.493,False,0.0,0.0,1,0,0,1785897572.284393,1785897572.284393,1785897589.61411,,,,,,3,0.110136,0.049955,,,,,,,,,,,,,,,,,,,,,,,22065.701219512193,6.9984465243902445,2.342895579268293,4.653478475609757,2.3842645274390244,32.475,96.17240909982614,12.662202183606919,59.61516996085573,4,332,,
seed11,14,adaptive,True,74.26,2,2,0,0.305,0,0.375,0.175,0,,,,,,,,,,,results/native_seed11_raw_adaptive_n30_pre_occupancy_capture_forensics/seed11_run14_adaptive.json,7399,7371,0.291,-48.021,1.705,-6.048,4.04,-48.021,50.14,214.988,3.004,2.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,361,25713721,8405397,32.688,True,94.46,False,0.0,0.0,1,0,0,1785897654.665051,1785897654.665051,1785897664.344881,,,,,,2,0.140091,0.107877,,,,,,,,,,,,,,,,,,,,,,,22999.33231707317,6.647876463414635,2.275089756097561,4.370862042682927,2.2335284786585365,32.688,95.97726209276513,13.078803756413302,59.74360544005919,2,330,,
seed11,14,raw,True,73.56,2,2,0,0.254,0,0.366,0.166,0,,,,,,,,,,,results/native_seed11_raw_adaptive_n30_pre_occupancy_capture_forensics/seed11_run14_raw.json,7336,7316,0.358,-48.048,1.501,-3.082,4.904,-48.048,50.027,212.341,3.002,1.984,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68813.58566978193,14.102140623052959,6.147661526479751,7.952242585669782,3.391118697819315,,101.63439424398616,,57.8978152041945,3,324,,
seed11,15,raw,True,74.65,2,2,0,0.226,0,0.324,0.124,0,,,,,,,,,,,results/native_seed11_raw_adaptive_n30_pre_occupancy_capture_forensics/seed11_run15_raw.json,7455,7404,0.31,-48.046,1.808,-7.421,3.438,-48.046,50.019,213.88,3.001,1.978,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65525.199335548175,13.552876046511628,5.531016544850498,8.019710564784054,3.559663867109635,,97.27956737710976,,56.8891021150823,3,304,,
seed11,15,adaptive,True,73.52,2,2,0,0.298,0,0.362,0.162,0,,,,,,,,,,,results/native_seed11_raw_adaptive_n30_pre_occupancy_capture_forensics/seed11_run15_adaptive.json,7342,7230,0.604,-48.096,1.907,-4.563,3.31,-48.096,50.066,213.305,3.001,1.997,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,302,20110393,6542580,32.533,True,98.013,False,0.0,0.0,1,0,0,1785897906.360645,1785897906.360645,1785897942.590304,,,,,,1,0.120048,0.137891,,,,,,,,,,,,,,,,,,,,,,,21400.315972222223,6.928491944444445,2.2414905902777775,4.684864722222223,2.4001252708333336,32.533,94.4298936406455,13.013184487164143,57.822133163852335,2,290,,
seed11,16,adaptive,True,72.93,2,2,0,0.284,0,0.395,0.195,0,,,,,,,,,,,results/native_seed11_raw_adaptive_n30_pre_occupancy_capture_forensics/seed11_run16_adaptive.json,7269,7234,0.3,-48.031,1.414,-2.352,3.345,-48.031,50.031,212.197,3.001,1.992,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,298,20085807,6483784,32.28,True,95.302,False,0.0,0.0,1,0,0,1785897989.67361,1785897989.67361,1785898025.306441,,,,,,2,0.150403,9e-05,,,,,,,,,,,,,,,,,,,,,,,21622.961672473866,7.184575993031359,2.315297804878049,4.867252822299652,2.4879063484320554,32.28,96.06567458918477,12.560102121984846,58.67345735778492,1,288,,
seed11,16,raw,True,74.61,2,2,1,0.083,1,0.193,-0.007,2,live_cloud,1.987,0.19647,-0.29877999424934387,-42.57048034667969,2.2838399410247803,2.96106,-0.32207998633384705,-42.38100814819336,2.330319881439209,results/native_seed11_raw_adaptive_n30_pre_occupancy_capture_forensics/seed11_run16_raw.json,7452,7394,0.337,-48.071,1.416,-4.608,0.791,-48.071,50.053,213.767,3.003,1.959,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66638.68393782384,14.913421243523315,5.790881139896373,9.120250103626944,4.138275834196891,,92.72867196323857,,56.58527250636309,2,195,,
seed11,17,raw,True,76.75,2,2,0,0.324,0,0.347,0.147,0,,,,,,,,,,,results/native_seed11_raw_adaptive_n30_pre_occupancy_capture_forensics/seed11_run17_raw.json,7660,7630,0.316,-48.027,1.646,-3.265,3.143,-48.027,50.06,217.198,3.001,1.998,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68698.43793103448,13.814227172413794,5.956976137931035,7.855095724137931,3.397481668965517,,98.08944704438457,,54.77748555173993,3,293,,
